year,subject,subject_type,relation,cluster_id,object,object_type,sentence
1636,en el que el actor Cosme Pérez,Persona,representar,2,"graciosidad"" en la compañía de Pedro de la Rosa",Persona,"Consta un concierto, fechado en Madrid el 16 de febrero, en el que el actor Cosme Pérez representó ""la parte principal de la graciosidad"" en la compañía de Pedro de la Rosa."
1639,Que la compañía de Pedro de la Rosa,Persona,representar,2,el Corpus de Sevilla,Persona,Que la compañía de Pedro de la Rosa representó en el Corpus de Sevilla.
1643,la compañía de Pedro de la Rosa,Persona,representar,2,"Madrid los autos del Corpus [4 de junio] y en la lista de actores presentada a las autoridades figuraba Cosme Pérez, aunque al principio Cosme Pérez parece que no quería representar, según se infiere de la anotación hecha por Pedro de la Rosa al entregar la lista de su compañía: ""Está indeciso, porque Cosme Pérez no quiere representar"" —pero se trata de un error de Cotarelo, pues, como se verá a continuación, esta noticia correspondería realmente a 1644—",Persona,"En nombre de su marido, Catalina se comprometía asimismo a pagar 456 rs. del viaje de Murcia, de hato y personas, y las raciones de Cuaresma; según Cotarelo, la compañía de Pedro de la Rosa representó en Madrid los autos del Corpus [4 de junio] y en la lista de actores presentada a las autoridades figuraba Cosme Pérez, aunque al principio Cosme Pérez parece que no quería representar, según se infiere de la anotación hecha por Pedro de la Rosa al entregar la lista de su compañía: ""Está indeciso, porque Cosme Pérez no quiere representar"" —pero se trata de un error de Cotarelo, pues, como se verá a continuación, esta noticia correspondería realmente a 1644—."
1651,Se,Persona,representar,2,"palacio la comedia de Calderón Darlo todo y no dar nada, con una loa de Antonio de Solís,",Persona,"Se representó en palacio la comedia de Calderón Darlo todo y no dar nada, con una loa de Antonio de Solís,"
1651,se,Persona,representar,2,"entremés El infierno de Juan Rana, en el que la actriz Bernarda Ramírez, célebre por imitar la figura de Juan Rana, interpretó el papel del ""Alma"" de este actor, quien también intervino en la representación—",Persona,"y, durante esta misma fiesta, se representó el entremés El infierno de Juan Rana, en el que la actriz Bernarda Ramírez, célebre por imitar la figura de Juan Rana, interpretó el papel del ""Alma"" de este actor, quien también intervino en la representación—."
1653,en la que Cosme Pérez,Persona,representar,2,"papel de ""Bato""—",Persona,"—la comedia representada fue Andrómeda y Perseo, de Calderón, en la que Cosme Pérez representó el papel de ""Bato""—;"
1655,Durante esta misma fiesta se,Persona,representar,2,"entremés Las visiones, en el que intervinieron 'Juan Rana' en el papel de ""Juan Rana"" y Bernarda Ramírez representando el papel de ""Quiteria, mujer de Juan Rana""",Persona,"Durante esta misma fiesta se representó el entremés Las visiones, en el que intervinieron 'Juan Rana' en el papel de ""Juan Rana"" y Bernarda Ramírez representando el papel de ""Quiteria, mujer de Juan Rana""."
1655,El martes de Carnaval de este año [9 de febrero] —aunque Lobato por error indica como fecha del representación el año 1656— se,Persona,representar,2,"comedia Un bobo hace ciento, de Solís, en cuya loa alegórica Juan Rana hizo de ""Tiempo"", compartiendo escenario con Bernarda Ramírez, Luisa Romero y Mariana Romero, 'la Patata' [¿Antonia del Pozo 'la Patata' o Luciana 'la Patata'?], Mariana de Borja 'la Borja' y 'Poca Ropa'",Persona,"El martes de Carnaval de este año [9 de febrero] —aunque Lobato por error indica como fecha del representación el año 1656— se representó ante Sus Majestades la comedia Un bobo hace ciento, de Solís, en cuya loa alegórica Juan Rana hizo de ""Tiempo"", compartiendo escenario con Bernarda Ramírez, Luisa Romero y Mariana Romero, 'la Patata' [¿Antonia del Pozo 'la Patata' o Luciana 'la Patata'?], Mariana de Borja 'la Borja' y 'Poca Ropa'."
1655,se,Persona,representar,2,"el Retiro el día de San Juan —probablemente el 23 de junio, noche de San Juan— la obra La restauración de España —también titulada La renegada de Valladolid, según Lobato—",Persona,"Según un testimonio recogido contemporáneamente por Jerónimo de Barrionuevo el 26 de junio, se representó en el Retiro el día de San Juan —probablemente el 23 de junio, noche de San Juan— la obra La restauración de España —también titulada La renegada de Valladolid, según Lobato—."
1655,"en la que se indica ""La comedia",Persona,representar,2,"el Salón del Buen Retiro el día de San Juan, año de 1655""",Persona,"Según Paz y Melia, en la Biblioteca Nacional de Madrid se conserva el manuscrito de La renegada de Valladolid, comedia burlesca, escrita por tres ingenios (Francisco de Monteser, Antonio de Solís y Diego de Silva), en la que se indica ""La comedia Representose a Su Majestad en el Salón del Buen Retiro el día de San Juan, año de 1655""."
1656,En la fiesta se,Persona,representar,2,comedia Pico y Canente de Luis de Ulloa y Pereira y Rodrigo de Ávila,Persona,En la fiesta se representó la comedia Pico y Canente de Luis de Ulloa y Pereira y Rodrigo de Ávila. La comedia Pico y Canente fue muy bien.
1656,en la misma carta el escenógrafo italiano da cuenta de que la fiesta se,Persona,representar,2,"el Coliseo, donde la fiesta se repitió durante cuatro días, con gran asistencia de público, especialmente para la función que tuvo lugar el lunes de Carnaval",Persona,"Por otro lado, en la misma carta el escenógrafo italiano da cuenta de que la fiesta se representó después en el Coliseo, donde la fiesta se repitió durante cuatro días, con gran asistencia de público, especialmente para la función que tuvo lugar el lunes de Carnaval."
1657,que se,Persona,representar,2,el Real Sitio de la Zarzuela por las compañías de Diego Osorio y Pedro de la Rosa,Persona,"El 17 de enero de este año Cosme Pérez, conocido como 'Juan Rana', intervino en la comedia El golfo de las sirenas, de Calderón, y en la mojiganga Juan Rana en la Zarzuela, intrínsecamente vinculada a esta obra, que se representó ante Sus Majestades en el Real Sitio de la Zarzuela por las compañías de Diego Osorio y Pedro de la Rosa."
1658,Junto a la comedia de Antonio de Solís Triunfos de Amor y Fortuna se,Persona,representar,2,"entremés del mismo Solís titulado Salta en banco, en el que intervino Cosme Pérez junto a Bernarda Ramírez, Bernarda Manuela, Luisa y Mariana Romero, Francisca Bezón 'la Bezona', María de Prado y María de Quiñones,",Persona,"Junto a la comedia de Antonio de Solís Triunfos de Amor y Fortuna se representó el entremés del mismo Solís titulado Salta en banco, en el que intervino Cosme Pérez junto a Bernarda Ramírez, Bernarda Manuela, Luisa y Mariana Romero, Francisca Bezón 'la Bezona', María de Prado y María de Quiñones,"
1658,y también se,Persona,representar,2,"entremés titulado El niño caballero, del mismo Solís, en el que actuó Juan Rana junto a Bernarda Ramírez, Francisca Bezona, Mariana de Borja 'la Borja', Simón Aguado, Mateo Godoy, Pedro de la Rosa y Tomás de Nájera",Persona,"y también se representó el entremés titulado El niño caballero, del mismo Solís, en el que actuó Juan Rana junto a Bernarda Ramírez, Francisca Bezona, Mariana de Borja 'la Borja', Simón Aguado, Mateo Godoy, Pedro de la Rosa y Tomás de Nájera."
1658,También se,Persona,representar,2,"sainete Aguardad, supremos dioses del mismo Solís, en el que intervino Juan Rana junto a Bernarda Ramírez, Simón Aguado, Bernarda Manuela, Mariana Borja, Pedro de la Rosa, Mateo Godoy, Diego Osorio y Jerónimo de Heredia",Persona,"También se representó como final de fiesta el sainete Aguardad, supremos dioses del mismo Solís, en el que intervino Juan Rana junto a Bernarda Ramírez, Simón Aguado, Bernarda Manuela, Mariana Borja, Pedro de la Rosa, Mateo Godoy, Diego Osorio y Jerónimo de Heredia;"
1658,A finales de noviembre de este año se,Persona,representar,2,"palacio el baile de Los Juan Ranas para celebrar el primer cumpleaños del príncipe Felipe Próspero, que había nacido el 28 de noviembre de 1657",Persona,"A finales de noviembre de este año se representó en palacio el baile de Los Juan Ranas para celebrar el primer cumpleaños del príncipe Felipe Próspero, que había nacido el 28 de noviembre de 1657."
1661,se,Persona,representar,2,"familia real con motivo del nacimiento del príncipe Carlos, el futuro Carlos II",Persona,"Según refiere Lobato, el entremés El toreador, de Calderón, se representó ante la familia real con motivo del nacimiento del príncipe Carlos, el futuro Carlos II. Durante la representación de la obra, en la que participó 'Juan Rana', Juan Rana bajó del tablado para dirigirse al Rey, a la Reina y al ""Principito"". Haciéndoles cortesías, y regresando después a ocupar su lugar en el tablado."
1661,en la que,Persona,representar,2,"Reina y al ""Principito""",Persona,"Según refiere Lobato, el entremés El toreador, de Calderón, se representó ante la familia real con motivo del nacimiento del príncipe Carlos, el futuro Carlos II. Durante la representación de la obra, en la que participó 'Juan Rana', Juan Rana bajó del tablado para dirigirse al Rey, a la Reina y al ""Principito"". Haciéndoles cortesías, y regresando después a ocupar su lugar en el tablado."
1661,en la que,Persona,representar,2,"Reina y al ""Principito""",Persona,"Durante la representación de la obra, en la que participó 'Juan Rana', Juan Rana bajó del tablado para dirigirse al Rey, a la Reina y al ""Principito""."
1662,Juan Rana',Persona,representar,2,"el entremés El ayo de Moreto, representado con motivo del cumpleaños del rey Felipe IV, quizá este año, como propone la citada investigadora, y en el que actuaron también Mateo de Godoy y Jerónimo Morales",Persona,"Según M. L. Lobato, 'Juan Rana' actuó en el entremés El ayo de Moreto, representado con motivo del cumpleaños del rey Felipe IV, quizá este año, como propone la citada investigadora, y en el que actuaron también Mateo de Godoy y Jerónimo Morales."
1673,Cosme Pérez,Lugar,nacer en,1,Madrid,Lugar,donde se anotaba que Cosme Pérez murió en Madrid.
